DIAGNOSIS,PATHOLOGY GEATURES,Similar Disease 1,Similar Disease 2,Similar Disease 3,Similar Disease 4
Trichoblastoma,Basaloid neoplasm in mid to lower dermis and/or subcutis with peripheral palisading. Fibrous stroma. No clefting. Scattered papillary mesenchymal bodies may be present. Pigmentation common.,Nodular Basal Carcinoma,Trichoepithelioma,Spiradenoma,
Werner Syndrome,Atrophic epidermis with absent rete ridges. Dermal fibrosis with occasional hyalinization and loss of pilosebaceous units. Replacement of subcutaneous fat by collagen.,Progeria,Scleroderma,Scar,
Harlequin Fetus,"Massive compact hyperkeratosis. Variable parakeratosis. Granular layer normal, decreased or absent.  Variable degree of acanthosis and papillomatosis. A fat stain shows small droplets of neutral fat in the cornified cells.",Lamellar Ichthyosis,Nonbullous Congenital Ichthyosiform Erythroderma,,
Papillon-Lerfevre Syndrome,Palmar plantar keratoderma. Associated periodontosis and loss of decidual and permanent teeth.,Palmarplantar Keratoderma,Vorner Syndrome,Unna-Thost Syndrome,
Conradi-Hunermann Syndrome,Hyperkeratosis with focal parakeratosis. Diminished granular layer. Keratinocytes contain small vacuoles with needle like calcium inclusions on electron microscopy.,Ichthyosis Vulgaris,CHILD Syndrome,Incontinentia Pigmenti,
Sjogren-Larsson Syndrome,"Congenital icthysosis, spastic paralysis, mental retardation. Resembles lamellar icythosis. Orthokeratotic hyperkeratosis overlying an acanthotic epidermis with papillomatosis. Well developed granular layer.",Lamellar Ichthyosis,Nonbullous Congenital Ichthyosiform Erythroderma,Chanarin-Dorfman Disease,
Vohwinkel's Syndrome,"Palmer plantar keratoderma with star fished keratosis on dorsa of digits. Hyperkeratosis, acanthosis and thickened granular layer. Lesions extending to dorsum of hands and feet with sharp demarcation at ankle and wrist, Orthohyperkeratosis. Normal granular layer.",Palmarplantar Keratoderma,Unna-Thost Syndrome,Vorner's Syndrome,
Erythrokeratoderma Variabilis,Basket weave hyperkeratosis with underlying compact hyperkeratosis. Thickened granular layer. Variable  degree of acanthosis and papillomatosis. Superficial perivascular lymphocytic infiltrate.,Progressive  Symmetric Erythrokeratoderma,Psoriasis,Lamellar Ichthyosis,
Unna-Thost Syndrome,Palmar plantar keratoderma. Marked hyperorthokeratosis with acanthosis and papillomatosis. Marked hyperkeratosis. Exaggerated rete ridge pattern. Mild superficial perivascular chronic inflammation.,Vorner's Syndrome,Vohwinkel Syndrome,Mal De Meleda Type,
Bullous Congenital Icthysiform Erythroderma,Compact to basket-weave hyperkeratosis with variable parakeratosis and hypergranulosis. Acanthosis and variable papillomatosis. Vacuolization of granular layer and upper spinous layer with large keratohyaline granules. Increased eosinophilia of keratinocytes. ,Lamellar Ichthyosis,Ichthyosis Bullosa Of Siemens,Epidermolysis Bullosa ,
Vorner's Syndrome,Epidermolytic hyperkeratosis. Perinuclear granules in spinous and granular layer.,Palmarplantar Keratoderma,Vohwinkel Syndrome,Unna-Thost Syndrome,
Piebaldism,"Melanocytes are absent or markedly reduced. No melanin in basal layer. If melanocytes are present, they usually are morphologically abnormal with spherical melanosomes.",Vitiligo,Chediak-Higashi Syndrome,Trichrome Vitiligo,
CHILD Syndrome,"Congenital hemidysplasia with icthysiform erythroderma and limb defects. Orthohyperkeratosis and parakeratosis. Acanthosis, papillomatosis of epidermis. Vacuoles within the keratinocytes of lower stratum corneum. Mild superficial perivascular lymphocytic infiltrate.",Pityriasis Rubra Pilaris,Conradi-Hunermann Syndrome,Psoriasis,Inflammatory Linear Verrucous Epidermal Nevus
Refsum Disease,Hyperkeratosis and acanthosis. Variable granular layer. Vacuolization of basal keratinocytes with neutral lipid within vacuoles.,Ichthyosis Vulgaris,Acquired Ichthyosis,Lamellar Ichthyosis,
Mal De Meleda Type,Palmer plantar keratoderma .Lesions extending to dorsum of hands and feet with sharp demarcation at ankle and wrist. Orthohyperkeratosis with normal granular layer.,Palmarplantar  Keratoderma,Unna-Thost Syndrome,Vohwinkel Syndrome,
Netherton Syndrome,Marked hyperkeratosis and parakeratosis. Epidermal acanthosis and papillomatosis. Diminished or absent granular layer. Lichenoid and superficial perivascular lymphocytic infiltrate in papillary dermis with exocytosis into epidermis.,Psoriasis,Trichorrhexis Invaginata,Nonbullous Congenital Ichthysiform Erythroderma,
Richner-Hanhart Syndrome,Focal palmar plantar keratoderma. Tyrosinemia. Oculocutaneous tyrosinemia. Epidermolytic hyepkeratosis with papillomatosis and acanthosis. Refractile eosinophilic deposits in superficial dermis.,Palmarplantar Keratoderma,Lamellar Ichthyosis,Nonbullous Congenital Ichthysiform Erythroderma,
Pseudoxanthoma Elasticum,"Short, wavy, fragmented, deeply basophilic calcified elastic fibers in dermis. Transepidermal elimination may be seen.",Cutis Laxa,Ehlers-Danlos Syndrome,Elastofibroma,
Darier's Disease,"Hyperkeratosis, acanthosis and papillomatosis. Suprabasal acantholysis with dyskeratosis forming corps ronds and grains. Corps ronds-cells with dark pyknotic nucleus surrounded by clear halo in granular layer. Grains-flat parakeratotic cells like rice grains.  DIF-negative.",Pemphigus Vulgaris,Hailey-Hailey Disease,Grover's Disease,Pityriasis Rubra Pilaris
Hailey Hailey Disease,Extensive acantholyis usually at mid-epidermis resembling dilapidated brick wall. Follicle sparing. Focal dyskeratosis (eosinophilic band surrounding nucleus). Perivascular lymphocytes. Direct DIF-negative.,Darier's Disease,Pemphigus Vulgaris,Grover's Disease,
Osteogenesis Imperfecta,Thinned dermis may be  seen in severely affected patients. ,Marfan Syndrome,Ehlers-Danlos Syndrome,Corticosteroid Atrophy,
Progeria,Epidermal atrophy. Dermal fibrosis/sclerosis. Decreased adnexal structures. Decreased subcutaneous fat.,Werner Syndrome,Scleroderma,Morphea,
Howel-Evans Syndrome,Palmar plantar keratoderma with squamous cell carcinoma of esophagus.,Palmarplantar Keratoderma,Vohwinkel Syndrome,Greither's Syndrome,
Erythropoietic Protoporphyria,"Prominent perivascular and interstitial deposits of amorphous pale, eosinophilic material in superficial dermis. Vessel shapes distorted by deposits. Deposits composed of Type IV collagen. ",Polymorphous Light Eruption,Hydroa Vacciniforme,Other Porphyrias,
Marfan Syndrome,Normal appearing skin in most cases. Dermal atrophy in some cases. Thin collagen and elastic fibers.,Ehlers-Danlos Syndrome,Osteogenesis Imperfecta,,
KID Syndrome,"Keratitis, ichthyosis and deafness. Hyperkeratotic stratum corneum with acanthosis and papillomatosis. Follicular plugging common. Eccrine glands may be diminished or atrophic with thickened hyalinized basement membranes.",RUD Syndrome,Refsum Disease,Sjogren-Larsson Syndrome,
Epidermolysis Bullosa,"Intraepidermal or subepidermal split with a sparse perivascular and interstitial lymphocytic infiltrate with rare eosinophils. Three variants: Epidermolysis Bullosa Simplex (keratin 5 and 14 gene mutations)  shows focal dissolution of basal or spinous layer with admixed dyskeratotic cells. Epidermolysis Bullosa Junctional(mutations in LAMA3 mutations in Herlitz type, laminin 5 and COLI7A1 gene in Non-Herlitz type and ITGA6 and ITGB4 gene in JEB with pyloric atresia) shows focal split within the basement membrane zone at level of lamina lucida. Epidermolysis Bullosa Dystrophica(mutations in COL7A1 gene) has split beneath the basement membrane zone, through anchoring fibrils.",Bullous Pemphigoid,Focal Dermal Hypoplasia,Aplasia Cutis Congenita,Chronic Bullous Dermatitis Of Childhood
Chediak-Higashi Syndrome,Reduced or absent melanin pigment in basal layer. Few large pigmented granules corresponding to giant melanosomes may be seen.,Vitiligo,Post Inflammatory Pigment Alteration,Oculocutaneous Albinism,
Cherry Angioma,"Tightly grouped, well circumscribed proliferation of capillaries and venules in papillary dermis, often surrounded by an epidermal collarette. Some of the endothelial cell nuclei may be protuberant. Thickened basement membrane is seen around some of the vessels.",Cavernous Hemangioma,Angiokeratoma,Pyogenic Granuloma,Arteriovenous Hemangioma
Lamellar Ichthyosis,"Moderate to severe compact hyperkeratosis. Normal granular layer, sometimes thickened. Mildly acanthotic epidermis with papillomatosis, psoriasiform hyperplasia, prominent rete ridges. Mild superficial perivascular lymphocytic infiltrate.",X-Linked Recessive Ichthyosis,Bullous Congenital Icthysiform Erythroderma,Netherton Syndrome,Trichothiodystrophy
Pili Trianguli Et Canaliculi,Triangular or kidney shaped hair shafts (on cross section). Longitudinal grooves run along entire shaft.,Trichothiodystrophy,Pili Annulati,Trichorrhexis Invaginata,
Imipramine,"Yellow granules in upper and mid dermis. Pigment also seen in dermal macrophages, endothelial cells and fibroblasts.",Minocycline Induced Pigmentation,Antimalarials,Clofazimine Induced Pigmentation,
Pachyonychia Congenita,Subungal hyperkeratosis with patchy hypergranulosis and acanthosis. Large keratohyaline granules in granular layer.,Psoriasis,Onychomycosis,Palmarplantar Keratoderma,
Pityriasis Rosea,"Mild spongiosis and focal parakeratotic mounds. Superficial perivascular lymphocytic infiltrate with extravasated  RBC, sometimes admixed eosinophils.",Allergic Contact Dermatitis,Gutate Psoriasis,Dermatophytosis,Erythema Annulare Centrifugum
Focal Dermal Hypoplasia,"Also known as Goltz Syndrome. Neogenesis of fat around blood vessels, eventually replacing the dermis and giving the appearance of dermal atrophy with with subcutaneous fat reaching almost to the epidermis. ",Nevus Lipomatosis Superficialis,Lipofibroma,Lipoma,
Erythema Multiforme,Preserved basket-weave stratum corneum. Necrotic/dyskeratotic keratinocytes at all levels. Interface vacuolar dermatitis. Superficial perivascular lymphocytic infiltrate with eosinophils sometimes.,Fixed Drug Eruption,Graft Versus Host Disease,Toxic Epidermal Necrolysis,
Hibernoma,"Encapsulated lobular neoplasm with large multivacuolated fat cells(mulberry cells), admixed with mature univacuolated adipocytes.",Lipoma,Well Differentiated Liposarcoma,Granular Cell Tumor,Atypical Lipomatous Tumor
Inflammatory Myofibroblastic Tumor,Well circumscribed proliferation of spindle cells associated with a polymorphous lymphoplasmacytic infiltrate. Spindle cells often have epithelioid appearance with abundant eosinophilic cytoplasm and prominent eosinophilic nucleoli. 40 percent lesions show positivity with ALK1.,Leiomyosarcoma,Neurofibroma,Post-Operative Spindle Nodule,
Sclerotic Fibroma,Sharply circumscribed hypocellular dermal lesion. Scattered angulated fibroblasts in a  collagenous background  with a storiform organization.,Pleomorphic Fibroma,Sclerosing Perineuroma,Keloid,Pleomorphic Lipoma
Keratosis Pilaris,Mildly dilated hair follicle with a keratin plug that protrudes above the surface for a short distance. Minimal inflammation.,Lichen Spinulosus,Fox-Fordyce Disease,Infundibulofolliculitis,
Desmoplastic Small Round Cell Tumor,"Nests of undifferentiated round cells with hyperchromatic nuclei and scant cytoplasm surrounded by a sclerotic stroma. Tumor cells positive for cytokeratins, desmin, EMA and WT1.",Alveolar Rhabdomyosarcoma,Ewing Sarcoma-Primitive Neuroectodermal Tumor,Neuroblastoma,Merkel Cell Carcinoma
Subungal Keratoacanthoma,Crateriform proliferation of well differentiated squamous nests with glassy cytoplasm. Presence of multiple dyskeratotic cells in epidermis. Abrupt keratinization without granular layer within the nests. Can infiltrate underlying bone.,Squamous Cell Carcinoma Of Nail,Verruca Vulgaris Of Nail,Incontinentia Pigmenti,
Acanthotic Seborrheic Keratosis,Broad sheets of small polygonal keratinocytes which look monotonous throughout the lesion. Scattered horn cysts. Loose lamellar stratum corneum. Scattered pigment.,Squamous Cell Carcinoma,Verruca Vulgaris,Hidroacanthoma Simplex,Epidermal Nevus
Clonal Seborrheic Keratosis,Whorled islands of small keratinocytes within epidermis forming clones. No atypical features.,Seborrheic Keratosis,Squamous Cell Carcinoma,Hidroacanthoma Simplex,Epidermal Nevus
Hyperkeratotic Seborrheic Keratosis,"Papillomatosis with hyperkeratosis, acanthosis of epidermis and scattered pseudohorn cysts.",Hypertrophic Actinic Keratosis,Squamous Cell Carcinoma,Verruca Vulgaris,Epidermal Nevus
Inflamed Seborrheic Keratosis,Seborrheic keratosis with significant inflammation-both within the epidermis and dermis. Dermal inflammation may be lichenoid and/or  perivascular. Spongiosis within the epidermis common.,Verruca Vulgaris,Squamous Cell Carcinoma,Epidermal Nevus,Epidermal Nevus
Irritated Seborrheic Keratosis,Acanthotic epidermis with pseudohorn cyst. Downward proliferation of epidermal nests forming squamous eddies; no cytological atypia. Focally the keratinocytes may appear spindled.,Squamous Cell Carcinoma,Verruca Vulgaris,Hidroacanthoma Simplex ,Epidermal Nevus
Reticulated Seborrheic Keratosis,Interlacing downgrowths of epidermis showing reticular (lace-like) pattern. Interspersed pseudohorn cyst. Increased pigment in basal layer.,Squamous Cell Carcinoma,Verruca Vulgaris,Epidermal Nevus,
Seborrheic Keratosis,"Epidermal acanthosis, papillomatosis with overlying hyperkeratosis. Broad sheets of small to medium sized basaloid cells with squamoid differentiation  are separated by scattered psedohorn cysts. String sign-base of epidermis shows sharp demarcation like a string pulled along the base.",Verruca Vulgaris,Epidermal Nevus,Squamous Cell Carcinoma,
Syringoma,Small superficial dermal lesion composed of ducts lined by two rows of epithelioid cells and a central lumen with eosinophilic cuticle in a fibrotic stroma. Comma-shaped configuration of ducts common-tadpole cells. Clear cell change may be seen-associated with diabetes mellitus.,Microcystic Adnexal Carcinoma,Desmoplastic Trichoepithelioma,Morpheaform Basal Cell Carcinoma,
Infantile Fibrosarcoma,Highly cellular lesion that varies from a well differentiated collagen forming fibrosarcomatous pattern to a non-collagenous spindle cell neoplasm arranged in fascicles or dense sheets. High mitotic activity.,Giant Cell Fibroblastoma,Dermatofibrosarcoma Protuberans,Nodular Fasciitis,Cellular Dermatofibroma
Bednar Tumor,DFSP with scattered dendritic cells containing  melanin pigment.,Dermatofibrosarcoma Protuberans,Neurofibroma,Fibrosarcoma,
Dermatofibrosarcoma Protuberans,Dermal and subcutaneous proliferation of spindle cells in distinct storiform(cartwheel) pattern. Spindle cells are uniform with minimal atypia. Involvement of subcutis imparts a layered and honeycomb pattern. May show areas of fibrosarcomatous transformation. Strongly positive with CD34.,Cellular Dermatofibroma,Neurofibroma,Leiomyosarcoma,Spindle Cell Melanoma
